epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,4227.16,0.84664,0.7163,1.34168,0.95142,0.96168,0.98431,0.87411,0.49491,0.35444,0.99592,0.000141023,0.000141023,0.000141023
153,4254.81,0.84293,0.70949,1.35446,0.96008,0.96618,0.98603,0.87735,0.48905,0.35478,0.98903,0.000135602,0.000135602,0.000135602
154,4282.71,0.86339,0.73462,1.35191,0.95606,0.97141,0.9869,0.8777,0.49211,0.34635,0.9905,0.000130271,0.000130271,0.000130271
155,4310.4,0.86861,0.72377,1.35421,0.95732,0.96429,0.9854,0.87481,0.50103,0.34917,0.99238,0.000125032,0.000125032,0.000125032
156,4337.7,0.8512,0.72148,1.33989,0.95309,0.96875,0.9862,0.87215,0.49773,0.36845,0.98914,0.000119885,0.000119885,0.000119885
157,4365.18,0.86739,0.72224,1.36026,0.97314,0.97059,0.9862,0.87973,0.4855,0.36242,0.98781,0.000114832,0.000114832,0.000114832
158,4392.86,0.85593,0.7114,1.35588,0.97476,0.96429,0.98766,0.87421,0.49944,0.34736,0.99067,0.000109874,0.000109874,0.000109874
159,4420.46,0.86675,0.74156,1.35597,0.97689,0.94354,0.98676,0.87828,0.4897,0.3449,0.98635,0.000105012,0.000105012,0.000105012
160,4448.01,0.85223,0.73515,1.34881,0.95997,0.96361,0.98739,0.87982,0.49754,0.35227,0.98982,0.000100248,0.000100248,0.000100248
161,4475.56,0.85363,0.74409,1.36021,0.95185,0.97069,0.98743,0.87916,0.50031,0.34728,0.98993,9.5582e-05,9.5582e-05,9.5582e-05
162,4503.27,0.87281,0.74454,1.37869,0.9825,0.96429,0.98796,0.87547,0.5091,0.33395,1.0009,9.1016e-05,9.1016e-05,9.1016e-05
163,4530.81,0.85171,0.69293,1.34905,0.98222,0.95536,0.98928,0.87354,0.49345,0.33434,0.98772,8.65511e-05,8.65511e-05,8.65511e-05
164,4558.38,0.85372,0.69708,1.34216,0.98596,0.96429,0.98785,0.86846,0.50567,0.33947,0.99675,8.21881e-05,8.21881e-05,8.21881e-05
165,4585.77,0.84409,0.70703,1.33515,0.98029,0.96429,0.98707,0.87141,0.52152,0.33748,1.00638,7.79283e-05,7.79283e-05,7.79283e-05
166,4613.26,0.84915,0.70134,1.34125,0.98008,0.96429,0.98882,0.8758,0.49738,0.32615,0.99158,7.37725e-05,7.37725e-05,7.37725e-05
167,4640.94,0.8251,0.67575,1.32311,0.97116,0.95982,0.98555,0.87752,0.49804,0.33443,0.99095,6.9722e-05,6.9722e-05,6.9722e-05
168,4668.46,0.85516,0.71734,1.35487,0.97297,0.96413,0.98417,0.87414,0.50421,0.3347,0.99604,6.57777e-05,6.57777e-05,6.57777e-05
169,4695.99,0.81947,0.68205,1.32955,0.97601,0.96429,0.98435,0.87507,0.49976,0.33418,0.99458,6.19405e-05,6.19405e-05,6.19405e-05
170,4723.67,0.84825,0.69788,1.35089,0.98177,0.96195,0.99088,0.87474,0.51563,0.33796,1.0017,5.82114e-05,5.82114e-05,5.82114e-05
171,4751.17,0.83955,0.68205,1.34296,0.9731,0.96889,0.99069,0.87999,0.50149,0.32654,0.99345,5.45913e-05,5.45913e-05,5.45913e-05
172,4778.89,0.84301,0.68615,1.34394,0.98145,0.96875,0.98835,0.87656,0.49424,0.31707,0.98959,5.10811e-05,5.10811e-05,5.10811e-05
173,4806.55,0.82013,0.67478,1.31739,0.98308,0.96429,0.98733,0.87723,0.48574,0.31753,0.98443,4.76817e-05,4.76817e-05,4.76817e-05
174,4834.2,0.83313,0.68395,1.33761,0.98187,0.96687,0.98727,0.87834,0.49731,0.32526,0.99053,4.43939e-05,4.43939e-05,4.43939e-05
175,4861.89,0.85692,0.70604,1.35338,0.97737,0.96386,0.98639,0.87916,0.48158,0.3267,0.98198,4.12186e-05,4.12186e-05,4.12186e-05
176,4889.52,0.83919,0.67163,1.3284,0.97757,0.97294,0.98687,0.88395,0.46958,0.32953,0.97631,3.81564e-05,3.81564e-05,3.81564e-05
177,4917.12,0.84498,0.7138,1.35174,0.97207,0.96875,0.98598,0.88292,0.47104,0.32984,0.97732,3.52082e-05,3.52082e-05,3.52082e-05
178,4944.66,0.82889,0.68165,1.34324,0.96471,0.96875,0.98719,0.88038,0.47668,0.32747,0.97823,3.23748e-05,3.23748e-05,3.23748e-05
179,4972.23,0.83541,0.67769,1.33097,0.97755,0.97214,0.98863,0.88227,0.47588,0.31867,0.97769,2.96567e-05,2.96567e-05,2.96567e-05
